NREN & 5 & 4.87 & 1.44 & 4.72 & 1.30 & 5.82 & 2.13 
NREN & 10 & 4.75 & 1.27 & 5.06 & 1.50 & 5.84 & 2.05 
NREN & 25 & 5.62 & 1.40 & 5.44 & 1.40 & 6.44 & 1.77 
tech-routers-rf & 5 & 14.43 & 3.81 & 14.20 & 3.60 & 19.26 & 5.97 
tech-routers-rf & 10 & 14.94 & 4.66 & 14.44 & 4.12 & 20.81 & 9.71 
tech-routers-rf & 25 & 15.65 & 4.46 & 15.19 & 3.96 & 19.70 & 8.40 
tech-WHOIS & 5 & 119.35 & 178.25 & 101.12 & 29.71 & 165.23 & 53.77 
tech-WHOIS & 10 & 174.93 & 191.82 & 139.96 & 83.27 & 212.31 & 166.65 
tech-WHOIS & 25 & 215.85 & 141.23 & 241.07 & 181.94 & 254.79 & 180.26 
internet-as & 5 & 460.11 & 157.70 & 486.18 & 176.14 & 575.85 & 258.34 
internet-as & 10 & 616.30 & 233.37 & 624.62 & 487.13 & 819.18 & 649.40 
internet-as & 25 & 1048.75 & 517.40 & 1070.56 & 707.96 & 1017.95 & 823.71 
p2p-Gnutella04 & 5 & 82.58 & 27.73 & 86.48 & 30.46 & 119.38 & 40.24 
p2p-Gnutella04 & 10 & 112.04 & 56.90 & 123.01 & 98.31 & 146.68 & 80.44 
p2p-Gnutella04 & 25 & 188.09 & 121.72 & 222.86 & 195.25 & 203.63 & 144.17 
p2p-Gnutella05 & 5 & 63.44 & 22.38 & 62.26 & 24.11 & 96.12 & 39.65 
p2p-Gnutella05 & 10 & 88.49 & 36.93 & 75.11 & 33.24 & 108.02 & 41.76 
p2p-Gnutella05 & 25 & 155.81 & 204.48 & 145.07 & 126.35 & 159.00 & 133.46 
p2p-Gnutella06 & 5 & 59.30 & 22.15 & 66.83 & 20.79 & 91.59 & 43.33 
p2p-Gnutella06 & 10 & 77.45 & 32.85 & 79.81 & 31.02 & 103.44 & 39.48 
p2p-Gnutella06 & 25 & 144.11 & 86.43 & 111.25 & 86.54 & 164.04 & 114.86 
p2p-Gnutella08 & 5 & 42.80 & 11.87 & 45.64 & 13.81 & 59.16 & 25.95 
p2p-Gnutella08 & 10 & 54.58 & 16.37 & 52.28 & 15.29 & 59.97 & 21.60 
p2p-Gnutella08 & 25 & 78.44 & 59.77 & 75.83 & 75.91 & 80.59 & 42.06 
p2p-Gnutella09 & 5 & 54.54 & 17.87 & 54.93 & 17.97 & 76.59 & 31.05 
p2p-Gnutella09 & 10 & 62.43 & 24.00 & 67.35 & 23.93 & 85.43 & 36.47 
p2p-Gnutella09 & 25 & 100.80 & 73.85 & 98.29 & 56.24 & 124.93 & 104.09 
p2p-Gnutella24 & 5 & 292.08 & 135.72 & 281.80 & 158.70 & 349.38 & 173.62 
p2p-Gnutella24 & 10 & 379.45 & 194.22 & 481.23 & 541.05 & 447.63 & 222.48 
p2p-Gnutella24 & 25 & 622.89 & 453.97 & 631.94 & 457.27 & 693.00 & 399.82 
p2p-Gnutella25 & 5 & 208.36 & 91.91 & 215.04 & 96.35 & 246.61 & 88.47 
p2p-Gnutella25 & 10 & 314.59 & 198.87 & 338.80 & 223.35 & 323.86 & 178.33 
p2p-Gnutella25 & 25 & 512.13 & 461.03 & 527.32 & 481.41 & 511.11 & 317.16 
p2p-Gnutella30 & 5 & 476.97 & 329.04 & 472.64 & 180.28 & 508.01 & 196.48 
p2p-Gnutella30 & 10 & 648.95 & 378.14 & 607.14 & 534.28 & 674.32 & 347.65 
p2p-Gnutella30 & 25 & 938.43 & 448.77 & 964.05 & 709.39 & 920.92 & 576.65 
p2p-Gnutella31 & 5 & 979.97 & 584.36 & 859.90 & 572.59 & 954.91 & 500.56 
p2p-Gnutella31 & 10 & 1118.57 & 423.42 & 1229.79 & 758.71 & 1371.82 & 824.94 
p2p-Gnutella31 & 25 & 2004.57 & 1059.25 & 1978.52 & 1205.57 & 1854.74 & 1022.97 
delaunay_n10 & 5 & 6.07 & 1.55 & 5.85 & 1.63 & 8.41 & 3.05 
delaunay_n10 & 10 & 6.08 & 1.66 & 6.18 & 1.64 & 8.71 & 2.91 
delaunay_n10 & 25 & 6.73 & 1.76 & 6.79 & 2.00 & 8.54 & 3.05 
delaunay_n11 & 5 & 12.99 & 3.48 & 13.67 & 3.99 & 18.03 & 5.66 
delaunay_n11 & 10 & 13.17 & 3.73 & 13.23 & 3.42 & 18.56 & 6.52 
delaunay_n11 & 25 & 14.19 & 3.60 & 14.49 & 4.01 & 18.02 & 7.22 
delaunay_n12 & 5 & 28.29 & 8.24 & 27.05 & 8.22 & 39.39 & 14.94 
delaunay_n12 & 10 & 29.20 & 10.34 & 27.09 & 9.80 & 38.75 & 12.68 
delaunay_n12 & 25 & 31.64 & 10.56 & 31.55 & 10.96 & 40.43 & 14.84 
delaunay_n13 & 5 & 62.36 & 18.52 & 60.91 & 17.47 & 87.80 & 35.50 
delaunay_n13 & 10 & 68.20 & 23.90 & 70.24 & 23.87 & 90.94 & 41.47 
delaunay_n13 & 25 & 115.10 & 147.33 & 94.35 & 55.51 & 120.74 & 64.97 
delaunay_n14 & 5 & 166.37 & 58.77 & 166.30 & 54.53 & 221.21 & 89.81 
delaunay_n14 & 10 & 194.81 & 100.78 & 250.18 & 130.86 & 272.38 & 226.26 
delaunay_n14 & 25 & 379.29 & 339.87 & 395.36 & 292.42 & 374.70 & 306.09 
delaunay_n15 & 5 & 544.35 & 299.58 & 502.57 & 258.15 & 586.73 & 280.51 
delaunay_n15 & 10 & 638.67 & 353.48 & 725.19 & 676.76 & 732.49 & 382.06 
delaunay_n15 & 25 & 1091.20 & 877.26 & 1048.48 & 810.36 & 1025.39 & 521.14 
delaunay_n16 & 5 & 1365.54 & 972.77 & 1166.26 & 328.53 & 1222.61 & 496.54 
delaunay_n16 & 10 & 1642.90 & 837.02 & 1654.82 & 1236.81 & 1689.24 & 903.80 
delaunay_n16 & 25 & 2604.93 & 1795.31 & 2415.55 & 1377.73 & 2406.78 & 1328.70 
delaunay_n17 & 5 & 2866.97 & 1864.69 & 2651.20 & 1560.18 & 3491.69 & 2273.42 
