NREN & 5 & 0.52 & 0.02 & 0.63 & 0.04
NREN & 10 & 0.52 & 0.02 & 0.62 & 0.04
NREN & 25 & 0.52 & 0.02 & 0.59 & 0.05
tech-routers-rf & 5 & 0.52 & 0.01 & 0.61 & 0.03
tech-routers-rf & 10 & 0.51 & 0.01 & 0.60 & 0.03
tech-routers-rf & 25 & 0.51 & 0.01 & 0.58 & 0.04
tech-WHOIS & 5 & 0.50 & 0.01 & 0.59 & 0.02
tech-WHOIS & 10 & 0.51 & 0.01 & 0.59 & 0.03
tech-WHOIS & 25 & 0.50 & 0.01 & 0.57 & 0.03
internet-as & 5 & 0.50 & 0.00 & 0.62 & 0.02
internet-as & 10 & 0.50 & 0.00 & 0.61 & 0.03
internet-as & 25 & 0.50 & 0.00 & 0.58 & 0.04
p2p-Gnutella04 & 5 & 0.51 & 0.01 & 0.54 & 0.01
p2p-Gnutella04 & 10 & 0.51 & 0.00 & 0.53 & 0.01
p2p-Gnutella04 & 25 & 0.51 & 0.01 & 0.53 & 0.01
p2p-Gnutella05 & 5 & 0.51 & 0.01 & 0.54 & 0.01
p2p-Gnutella05 & 10 & 0.51 & 0.00 & 0.54 & 0.01
p2p-Gnutella05 & 25 & 0.51 & 0.01 & 0.53 & 0.02
p2p-Gnutella06 & 5 & 0.51 & 0.00 & 0.54 & 0.01
p2p-Gnutella06 & 10 & 0.51 & 0.01 & 0.54 & 0.01
p2p-Gnutella06 & 25 & 0.51 & 0.01 & 0.53 & 0.01
p2p-Gnutella08 & 5 & 0.51 & 0.01 & 0.55 & 0.01
p2p-Gnutella08 & 10 & 0.51 & 0.01 & 0.55 & 0.01
p2p-Gnutella08 & 25 & 0.51 & 0.01 & 0.54 & 0.02
p2p-Gnutella09 & 5 & 0.51 & 0.01 & 0.55 & 0.01
p2p-Gnutella09 & 10 & 0.51 & 0.01 & 0.54 & 0.02
p2p-Gnutella09 & 25 & 0.51 & 0.01 & 0.54 & 0.02
p2p-Gnutella24 & 5 & 0.50 & 0.00 & 0.53 & 0.01
p2p-Gnutella24 & 10 & 0.50 & 0.00 & 0.53 & 0.01
p2p-Gnutella24 & 25 & 0.50 & 0.00 & 0.52 & 0.01
p2p-Gnutella25 & 5 & 0.51 & 0.00 & 0.53 & 0.01
p2p-Gnutella25 & 10 & 0.51 & 0.00 & 0.53 & 0.01
p2p-Gnutella25 & 25 & 0.50 & 0.00 & 0.52 & 0.01
p2p-Gnutella30 & 5 & 0.50 & 0.00 & 0.52 & 0.01
p2p-Gnutella30 & 10 & 0.50 & 0.00 & 0.52 & 0.01
p2p-Gnutella30 & 25 & 0.50 & 0.00 & 0.52 & 0.01
p2p-Gnutella31 & 5 & 0.50 & 0.00 & 0.52 & 0.00
p2p-Gnutella31 & 10 & 0.50 & 0.00 & 0.52 & 0.00
p2p-Gnutella31 & 25 & 0.50 & 0.00 & 0.51 & 0.01
delaunay_n10 & 5 & 0.54 & 0.01 & 0.60 & 0.02
delaunay_n10 & 10 & 0.54 & 0.01 & 0.59 & 0.02
delaunay_n10 & 25 & 0.53 & 0.01 & 0.57 & 0.03
delaunay_n11 & 5 & 0.53 & 0.01 & 0.57 & 0.01
delaunay_n11 & 10 & 0.53 & 0.01 & 0.56 & 0.02
delaunay_n11 & 25 & 0.52 & 0.01 & 0.55 & 0.02
delaunay_n12 & 5 & 0.52 & 0.01 & 0.55 & 0.01
delaunay_n12 & 10 & 0.52 & 0.01 & 0.54 & 0.01
delaunay_n12 & 25 & 0.52 & 0.01 & 0.54 & 0.01
delaunay_n13 & 5 & 0.51 & 0.00 & 0.53 & 0.01
delaunay_n13 & 10 & 0.51 & 0.00 & 0.53 & 0.01
delaunay_n13 & 25 & 0.51 & 0.01 & 0.53 & 0.01
delaunay_n14 & 5 & 0.51 & 0.00 & 0.52 & 0.01
delaunay_n14 & 10 & 0.51 & 0.00 & 0.52 & 0.01
delaunay_n14 & 25 & 0.51 & 0.00 & 0.52 & 0.01
