NREN & 5 & 0.43 & 0.01 & 1.00 & 0.00  
NREN & 10 & 0.46 & 0.01 & 1.00 & 0.00  
NREN & 25 & 0.52 & 0.02 & 1.00 & 0.00  
tech-routers-rf & 5 & 0.52 & 0.01 & 1.00 & 0.00  
tech-routers-rf & 10 & 0.55 & 0.01 & 1.00 & 0.00  
tech-routers-rf & 25 & 0.63 & 0.01 & 0.99 & 0.00  
tech-WHOIS & 5 & 0.61 & 0.01 & 1.00 & 0.00  
tech-WHOIS & 10 & 0.61 & 0.01 & 0.99 & 0.00  
tech-WHOIS & 25 & 0.59 & 0.01 & 0.97 & 0.01  
internet-as & 5 & 0.54 & 0.00 & 0.97 & 0.00  
internet-as & 10 & 0.53 & 0.00 & 0.96 & 0.00  
internet-as & 25 & 0.51 & 0.00 & 0.88 & 0.01  
p2p-Gnutella04 & 5 & 0.69 & 0.01 & 0.97 & 0.00  
p2p-Gnutella04 & 10 & 0.67 & 0.01 & 0.95 & 0.00  
p2p-Gnutella04 & 25 & 0.64 & 0.01 & 0.90 & 0.01  
p2p-Gnutella05 & 5 & 0.69 & 0.01 & 0.98 & 0.00  
p2p-Gnutella05 & 10 & 0.68 & 0.01 & 0.97 & 0.00  
p2p-Gnutella05 & 25 & 0.65 & 0.01 & 0.92 & 0.01  
p2p-Gnutella06 & 5 & 0.69 & 0.01 & 0.98 & 0.00  
p2p-Gnutella06 & 10 & 0.68 & 0.01 & 0.97 & 0.00  
p2p-Gnutella06 & 25 & 0.65 & 0.01 & 0.92 & 0.01  
p2p-Gnutella08 & 5 & 0.66 & 0.01 & 0.99 & 0.00  
p2p-Gnutella08 & 10 & 0.66 & 0.01 & 0.99 & 0.00  
p2p-Gnutella08 & 25 & 0.64 & 0.01 & 0.95 & 0.01  
p2p-Gnutella09 & 5 & 0.66 & 0.01 & 0.99 & 0.00  
p2p-Gnutella09 & 10 & 0.66 & 0.01 & 0.98 & 0.00  
p2p-Gnutella09 & 25 & 0.63 & 0.01 & 0.94 & 0.01  
p2p-Gnutella24 & 5 & 0.61 & 0.00 & 0.93 & 0.00  
p2p-Gnutella24 & 10 & 0.60 & 0.00 & 0.90 & 0.01  
p2p-Gnutella24 & 25 & 0.58 & 0.00 & 0.83 & 0.01  
p2p-Gnutella25 & 5 & 0.62 & 0.00 & 0.94 & 0.00  
p2p-Gnutella25 & 10 & 0.61 & 0.01 & 0.91 & 0.01  
p2p-Gnutella25 & 25 & 0.58 & 0.00 & 0.84 & 0.01  
p2p-Gnutella30 & 5 & 0.60 & 0.00 & 0.90 & 0.00  
p2p-Gnutella30 & 10 & 0.59 & 0.00 & 0.87 & 0.01  
p2p-Gnutella30 & 25 & 0.56 & 0.00 & 0.80 & 0.01  
p2p-Gnutella31 & 5 & 0.58 & 0.00 & 0.84 & 0.01  
p2p-Gnutella31 & 10 & 0.57 & 0.00 & 0.81 & 0.01  
